context,question,category,answer
"Anna proposes Charlie eating a pizza tonight. Charlie refuses, because he is upset about the things that happened.",How many times a week does he eat pizza?,Frequency, once
"Anna proposes Charlie eating a pizza tonight. Charlie refuses, because he is upset about the things that happened.",How long does he eat a pizza?,Event Duration, 1 hour
"Anna proposes Charlie eating a pizza tonight. Charlie refuses, because he is upset about the things that happened.",When did he eat the pizza?,Typical Time, 12:00 PM
"Anna proposes Charlie eating a pizza tonight. Charlie refuses, because he is upset about the things that happened.",What happened after he ate the pizza?,Event Ordering, he felt better
"Anna proposes Charlie eating a pizza tonight. Charlie refuses, because he is upset about the things that happened.",Is Anna still upset about the things that happened after he ate the pizza?,Stationarity, no
A lot of sick people go to Nadine's clinic because of the cold weather.,How often do the sick go to Nadine's clinic?,Frequency, every week
A lot of sick people go to Nadine's clinic because of the cold weather.,How long do they go to Nadine's clinic?,Event Duration, 1 hour
A lot of sick people go to Nadine's clinic because of the cold weather.,When do the sick people go to Nadine's clinic?,Typical Time, 10:00 AM
A lot of sick people go to Nadine's clinic because of the cold weather.,What happens after they go to Nadine's clinic?,Event Ordering, they get better
Leticia lost her wallet with cards and documents and needs to borrow 10 dollars. Miranda and Lora offer help. The girls hope somebody will find the wallet and give it back.,How often does she lose the wallet?,Frequency, once a year
Leticia lost her wallet with cards and documents and needs to borrow 10 dollars. Miranda and Lora offer help. The girls hope somebody will find the wallet and give it back.,How long did it take to find the wallet?,Event Duration, 2 days
Leticia lost her wallet with cards and documents and needs to borrow 10 dollars. Miranda and Lora offer help. The girls hope somebody will find the wallet and give it back.,When did they get the wallet?,Typical Time, yesterday
Leticia lost her wallet with cards and documents and needs to borrow 10 dollars. Miranda and Lora offer help. The girls hope somebody will find the wallet and give it back.,What happened after they found the wallet?,Event Ordering, they returned it to the owner
Paula needs the paper from the office to submit an application.,How often does Paula need the paper?,Frequency, once
Paula needs the paper from the office to submit an application.,How long does Paula need the paper?,Event Duration, 1 day
Paula needs the paper from the office to submit an application.,When did Paula get the paper from the office?,Typical Time, 12:00 PM
Paula needs the paper from the office to submit an application.,What happens after Paula needs the paper?,Event Ordering, she submits the application
Ben and Steven will go to Marco's tonight to eat pizza.,How often do they go to restaurants?,Frequency, once a week
Ben and Steven will go to Marco's tonight to eat pizza.,How long will they eat pizza?,Event Duration, 1 hour
Ben and Steven will go to Marco's tonight to eat pizza.,When will they eat pizza?,Typical Time, 7:00 PM
Ben and Steven will go to Marco's tonight to eat pizza.,What will they do after leaving Marco's?,Event Ordering, go home
Ben and Steven will go to Marco's tonight to eat pizza.,Will they still be going to Marco's tomorrow?,Stationarity, no
Terence accused Daniel of taking his money. Terence finds the money later and apologizes to Daniel. Daniel is still upset.,How many times a week does he get the money?,Frequency, once
Terence accused Daniel of taking his money. Terence finds the money later and apologizes to Daniel. Daniel is still upset.,How long did it take to get the money?,Event Duration, 1 hour
Terence accused Daniel of taking his money. Terence finds the money later and apologizes to Daniel. Daniel is still upset.,When did he get the money?,Typical Time, the next day
Terence accused Daniel of taking his money. Terence finds the money later and apologizes to Daniel. Daniel is still upset.,What happened after Daniel found the money?,Event Ordering, he returned it to the rightful owner
Terence accused Daniel of taking his money. Terence finds the money later and apologizes to Daniel. Daniel is still upset.,Is Daniel still upset about the money after the money is found?,Stationarity, no
Levy hasn't taken the trash out because parents didn't ask him. Lucy will do it.,How often does Levy take the trash out?,Frequency, every day
Levy hasn't taken the trash out because parents didn't ask him. Lucy will do it.,How long has Levy been taking the trash out?,Event Duration, 10 years
Levy hasn't taken the trash out because parents didn't ask him. Lucy will do it.,When did Levy take the trash out?,Typical Time, 10:00 PM
Levy hasn't taken the trash out because parents didn't ask him. Lucy will do it.,What happened after Levy did the trash out?,Event Ordering, he got a reward
Willy and Vinny will car pool with Winny's red Mustang.,How long will the car pool last?,Event Duration, 1 hour
Willy and Vinny will car pool with Winny's red Mustang.,When will they be back at the car pool?,Typical Time, 12:00 PM
Willy and Vinny will car pool with Winny's red Mustang.,Will they still be in the middle of a red Mustang after the car pool is over?,Stationarity, no
"Sage is having a beer. Lindsey has just finished her class but is not going to the next one. Just like last week, Lindsey has asked a classmate to fake her signature on the attendance list.",How many times a week does she have to a beer?,Frequency, once
"Sage is having a beer. Lindsey has just finished her class but is not going to the next one. Just like last week, Lindsey has asked a classmate to fake her signature on the attendance list.",How long did the class last?,Event Duration, 1 hour
"Sage is having a beer. Lindsey has just finished her class but is not going to the next one. Just like last week, Lindsey has asked a classmate to fake her signature on the attendance list.",When did she have the beer?,Typical Time, 1:00 PM
"Sage is having a beer. Lindsey has just finished her class but is not going to the next one. Just like last week, Lindsey has asked a classmate to fake her signature on the attendance list.",What did she do after the class?,Event Ordering, she went home
Jason wants to meet Dory over the weekend. Dory's friend is going to stay with her for a week. Jason has been working on a movie with Lucy for the past two months. Jason bought a video-creator app.,How many times a week does Jason go to work?,Frequency, 5 times
Jason wants to meet Dory over the weekend. Dory's friend is going to stay with her for a week. Jason has been working on a movie with Lucy for the past two months. Jason bought a video-creator app.,How long will the movie last?,Event Duration, 2 hours
Jason wants to meet Dory over the weekend. Dory's friend is going to stay with her for a week. Jason has been working on a movie with Lucy for the past two months. Jason bought a video-creator app.,When did Jason meet with her?,Typical Time, 12:00 PM
